Index;Title
1;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00214-y">Identification of RAG-like transposons in protostomes suggests their ancient bilaterian origin</a> </h3>
2;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0145-8">Correction to: High-performance gene expression and knockout tools using sleeping beauty transposon system</a> </h3>
3;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-022-00270-6">Characterization of transposable elements within the <em>Bemisia tabaci</em> species complex</a> </h3>
4;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-021-00256-w">Whole-genome analysis reveals the contribution of non-coding de novo transposon insertions to autism spectrum disorder</a> </h3>
5;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00218-8">Transposable element abundance correlates with mode of transmission in microsporidian parasites</a> </h3>
6;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00221-z">IS<em>982</em> and kin: new insights into an old IS family</a> </h3>
7;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0183-2">Correction to: Transcriptome analyses of tumor-adjacent somatic tissues reveal genes co-expressed with transposable elements</a> </h3>
8;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-022-00261-7">The fifth Japanese meeting on biological function and evolution through interactions between hosts and transposable elements</a> </h3>
9;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0195-y">Nucleotide composition of transposable elements likely contributes to AT/GC compositional homogeneity of teleost fish genomes</a> </h3>
10;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-021-00234-2">The association of group IIB intron with integrons in hypersaline environments</a> </h3>
11;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0175-2">Study of <em>VIPER</em> and <em>TATE</em> in kinetoplastids and the evolution of tyrosine recombinase retrotransposons</a> </h3>
12;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0193-0">LTR_FINDER_parallel: parallelization of LTR_FINDER enabling rapid identification of long terminal repeat retrotransposons</a> </h3>
13;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-022-00282-2">Recurrent co-domestication of <em>PIF/Harbinger</em> transposable element proteins in insects</a> </h3>
14;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-022-00280-4">Mobile group I introns at nuclear rDNA position L2066 harbor sense and antisense homing endonuclease genes intervened by spliceosomal introns</a> </h3>
15;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-022-00285-z">T3E: a tool for characterising the epigenetic profile of transposable elements using ChIP-seq data</a> </h3>
16;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00219-7">Transposons and satellite DNA: on the origin of the major satellite DNA family in the <em>Chenopodium</em> genome</a> </h3>
17;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-022-00265-3">The structural diversity of CACTA transposons in genomes of <em>Chenopodium</em> (<em>Amaranthaceae</em>, <em>Caryophyllales</em>) species: specific traits and comparison with the similar elements of angiosperms</a> </h3>
18;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0172-5">Paired-end mappability of transposable elements in the human genome</a> </h3>
19;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0196-x">A re-evaluation of LINE-1 ORF2 expression in LNCaP prostate cancer cells</a> </h3>
20;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0163-6">MGERT: a pipeline to retrieve coding sequences of mobile genetic elements from genome assemblies</a> </h3>
21;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0182-3">The Transposon Registry</a> </h3>
22;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0170-7"><em>flam</em> piRNA precursors channel from the nucleus to the cytoplasm in a temporally regulated manner along <em>Drosophila</em> oogenesis</a> </h3>
